Time,"Albany, New York (%)","Bronx, New York (%)","Broome, New York (%)","Cattaraugus, New York (%)","Cayuga, New York (%)","Chautauqua, New York (%)","Chemung, New York (%)","Chenango, New York (%)","Clinton, New York (%)","Columbia, New York (%)","Cortland, New York (%)","Delaware, New York (%)","Dutchess, New York (%)","Erie, New York (%)","Essex, New York (%)","Franklin, New York (%)","Fulton, New York (%)","Genesee, New York (%)","Greene, New York (%)","Herkimer, New York (%)","Jefferson, New York (%)","Kings, New York (%)","Livingston, New York (%)","Madison, New York (%)","Monroe, New York (%)","Montgomery, New York (%)","Nassau, New York (%)","New York, New York (%)","Niagara, New York (%)","Oneida, New York (%)","Onondaga, New York (%)","Ontario, New York (%)","Orange, New York (%)","Orleans, New York (%)","Oswego, New York (%)","Otsego, New York (%)","Putnam, New York (%)","Queens, New York (%)","Rensselaer, New York (%)","Richmond, New York (%)","Rockland, New York (%)","Saint Lawrence, New York (%)","Saratoga, New York (%)","Schenectady, New York (%)","Schoharie, New York (%)","Seneca, New York (%)","Steuben, New York (%)","Suffolk, New York (%)","Sullivan, New York (%)","Tioga, New York (%)","Tompkins, New York (%)","Ulster, New York (%)","Warren, New York (%)","Washington, New York (%)","Wayne, New York (%)","Westchester, New York (%)","Wyoming, New York (%)","Yates, New York (%)"
Sep-15,199400,371700,96100,71200,108100,74800,89800,85600,116800,202000,106000,118700,231300,135500,139000,85700,102000,102200,159100,88400,121600,621400,118600,116700,131100,91300,435300,8569700,107500,108200,123500,146200,214100,85600,92000,117600,311000,553200,165100,417800,399500,74100,241000,151600,122300,90000,85900,346100,138400,106600,183600,182200,187600,132900,113200,554000,95900,125900
Oct-15,199300,373700,95700,71300,108300,75500,90000,85200,117400,201500,106000,118600,232600,136100,139500,85500,102400,102600,159600,88600,121900,626400,119000,117600,133700,91300,438100,8572600,107600,108300,123700,146700,213500,85600,92200,117600,311100,556000,165300,418900,402000,74200,242000,151100,122600,90300,86400,348800,138900,107100,184200,182600,187500,132600,113500,555700,96300,125800
Nov-15,199400,377500,95900,71600,108500,76500,89800,84400,117900,200800,106400,118500,234600,136700,139300,85100,102600,103000,159900,88100,122200,629400,119100,118700,136800,91900,439400,8640500,107700,108500,123700,146800,212400,85800,92500,117900,309100,559200,165300,419400,403300,74500,242500,150200,122800,90600,86600,349500,139800,107300,185300,183200,187400,132600,113700,556300,96300,125900
Dec-15,199800,380900,96200,71600,108900,76900,89600,84100,118300,200300,107500,118500,236000,137200,138600,84300,102800,103300,159900,86600,122200,631900,119400,119000,140000,92200,440400,8670700,108300,108700,123900,146500,211700,86000,92500,118300,306300,561000,165100,420600,404200,74800,243200,149400,123100,90800,86400,349400,137800,107200,186700,184000,187100,132300,114100,558100,96300,126100
Jan-16,200300,382000,96300,71500,109700,76700,89900,84800,118600,200600,108000,118700,237000,137800,138800,83500,102700,103300,160400,85200,122800,633800,120200,118300,143200,91500,442000,8668500,108700,108900,124400,145900,211900,86000,92000,118600,303800,562300,165200,423600,405100,75300,244000,149000,123600,91400,86200,349600,132800,107800,188600,184400,187200,132100,114600,560200,96700,126400
Feb-16,201200,381400,96600,71600,110200,76700,90400,85600,118700,201600,107600,119200,238700,138100,139800,83000,102100,103500,161500,84800,123600,636800,120900,117700,146400,91100,444300,8641600,109000,108500,124700,145400,212200,86000,91700,118500,301600,564200,165200,427300,406100,75700,244500,149600,124400,92600,86200,350800,127500,108900,189900,184500,187500,132300,114700,560800,97500,126800
Mar-16,201900,382500,97500,72200,110400,76500,90700,85800,118700,203000,107700,120000,240100,138200,140500,83200,101800,103800,162600,84900,124200,641100,121400,117700,149300,92200,447500,8568700,109600,107800,125000,145000,212200,86000,91900,118900,300300,566200,164800,430800,407600,76000,245200,150800,125300,93800,86300,351700,124600,109900,189900,185300,187400,132900,114600,560300,98300,127300
Apr-16,202300,385200,98500,72600,110900,76600,90600,85700,118400,203900,108400,120800,239500,138700,140800,83500,102100,104300,163400,85400,124400,646200,122300,118100,152100,93500,450000,8478500,110700,107800,125600,144900,212800,86100,92100,119600,301100,568200,164500,434200,410200,75900,246300,151800,126100,94500,86600,352400,123500,110700,189500,186400,187600,133400,114900,561200,99000,128100
May-16,202400,388400,99000,72800,111300,77000,90200,86000,118000,204300,108400,121400,238400,139200,140700,83500,102300,105000,163900,86100,124500,648400,122900,118600,154600,94500,451000,8411400,111900,108500,126200,145200,214100,86400,92200,120400,303000,570600,164900,437000,413700,75600,247400,152100,126800,95100,87200,352500,124100,111100,189300,186700,188400,133700,115300,563700,99600,129000
Jun-16,202200,391300,98900,73100,111500,77500,90000,86500,117300,204900,108100,121800,238300,139500,140500,83300,102500,105600,164400,86900,124700,650000,123200,119200,156700,94600,451500,8323900,112500,108800,126700,146100,215900,86800,92600,121100,306200,573700,166000,438900,415700,75000,248400,152300,127500,95600,87800,352500,124700,111100,189500,187200,188900,133800,115500,567300,99900,129600
Jul-16,202500,392600,99100,73300,112200,77400,90400,86800,116900,206000,107600,122200,238400,140000,140600,83500,103100,105800,164800,87400,124800,652900,123400,119700,157700,93900,452700,8286800,113000,109100,127000,146900,217700,87100,92600,121600,310900,577300,167300,440300,417200,74100,249500,152400,127900,96100,88100,353900,125300,110900,190400,188400,189200,134100,115500,571500,100300,129900
Aug-16,203400,394200,99200,73200,112500,77600,90700,86700,117000,207300,107000,122700,238200,140800,140900,83900,103800,105800,165100,87900,124400,658900,123300,119900,157500,93200,455200,8310200,113700,109700,127500,146500,218900,87300,92300,122000,316000,581700,168400,442500,418300,73600,250000,152800,128300,96600,88300,355800,125700,110600,191700,189700,189800,134300,115400,574000,100900,130600
Sep-16,204400,397200,99400,73000,112600,77800,90600,86500,117400,208100,106300,123200,238500,141800,141200,84400,104400,106100,165100,88600,124400,665500,123400,120300,156900,93700,457800,8369500,114800,110500,128000,145400,219600,87400,92500,122200,320100,585300,169600,446300,418300,73600,250300,153500,128500,97000,88300,356200,125800,110400,192600,190300,190800,134300,115700,574500,101200,131500
Oct-16,205400,401100,99500,73100,113000,77800,90600,86500,117500,208700,105800,123600,239200,142800,141700,84800,104600,106300,164700,89200,125600,672000,123800,121100,156700,95300,460100,8379500,115600,111400,128700,144700,220900,88000,92900,122400,322200,588700,170300,451400,417800,73900,251000,154100,128500,97200,88300,356100,125400,110400,192700,190500,191500,134600,116400,574400,100800,132300
Nov-16,205900,404500,99800,73000,114000,77700,90600,86500,117500,209300,105600,123600,239900,143600,141900,85600,105100,106000,164400,89600,126500,678300,123700,121700,156500,96900,462900,8373700,116400,112400,129400,144400,222800,88500,93300,122800,323400,594100,170700,456500,418100,74000,251500,154600,128600,96800,88700,357300,123900,110300,192400,191100,192200,134800,117200,575000,100400,132800
Dec-16,205900,408000,99600,73000,114100,77700,90600,86900,117900,210000,106600,123900,240600,144400,142100,86600,105700,105600,164000,89800,126500,684200,123700,122000,155300,97500,466600,8450000,117000,113200,130100,144400,224300,89000,94000,123400,325100,602000,171100,461100,418500,73700,251600,155800,128600,96500,89100,360100,122400,110500,193200,193000,192800,134900,118000,576400,100600,133300
Jan-17,207500,411400,99500,72900,113700,77800,90800,88000,119100,210900,108200,124600,241300,145000,143000,87300,106300,105800,163900,90500,126100,688700,124200,122500,153500,97500,469700,8539900,117500,113500,130400,144600,224900,89700,95800,124200,325900,607900,171900,464200,419400,73200,251800,157100,128600,96900,89100,362600,121700,111100,195100,195000,193100,135400,118600,578200,101300,134200
Feb-17,209800,414900,99100,72900,113400,77900,90900,89200,120700,212000,109600,125600,242000,145700,144300,87800,106600,106000,164300,91200,126200,693100,124800,123200,151600,97600,471700,8554900,118300,113400,130400,145300,225600,90600,97300,124900,325700,610700,172900,466500,421300,72900,251900,157800,128700,97700,89000,363300,123100,111600,196500,196300,193600,136200,119100,579700,101900,135200
Mar-17,211500,418100,98900,73000,113700,77900,90900,89900,121800,213200,110500,126600,243100,146500,145300,88600,106800,106300,165100,91600,126400,699100,125100,123700,149900,97900,473700,8586400,119800,113600,130700,145900,226500,91600,97300,125100,326100,614500,173700,470100,424400,73200,251600,158700,128800,98600,89200,363400,127300,112000,196900,197800,195000,137000,119700,582200,102500,136200
Apr-17,212100,421700,98800,73200,114100,77900,91400,90500,122500,214500,111400,127700,244800,147400,145900,89200,107100,106900,165700,92000,126900,704900,125200,124100,148400,98100,476700,8608600,121300,114300,131000,146300,227800,92200,96600,124800,329000,620100,174100,474900,427100,73300,251100,160100,128800,99400,90000,364400,132200,112800,197800,200000,196000,137900,120300,584700,103100,137000
May-17,212400,425100,98500,73300,114700,77900,92100,91300,122900,215700,112200,128300,246600,148300,146100,89400,107500,107400,166200,92600,127500,710700,125400,124400,146900,98200,480700,8565100,122500,115100,131100,146200,228800,92500,96200,123500,332000,624600,174400,479800,428600,73200,250700,161300,128900,99900,90800,367300,134900,113500,199000,201700,195500,138600,120800,588100,103500,137700
Jun-17,213000,428700,98200,73100,115200,78200,92300,92000,123300,216500,112900,128700,247900,149500,146300,89500,107700,107800,166600,93200,127700,716500,125900,124600,144900,98400,486300,8545500,123700,116000,131200,146200,229000,92700,96200,121500,332500,626400,174500,485000,429400,73200,251300,162100,129200,100400,91600,372300,136500,113800,199500,202600,194800,139200,121400,592600,103700,138200
Jul-17,213500,432400,98400,72700,115500,78800,92400,92100,123800,217400,113400,129100,248900,150700,146600,89600,107900,108200,166900,93600,127700,722700,126300,124700,145700,98800,491300,8551800,125300,116400,131600,147200,229800,92900,97100,120900,331300,629100,174500,491200,430800,73400,253300,162600,129300,100900,92400,376600,137300,114000,199300,204100,194900,139800,121900,597300,104100,138700
Aug-17,213200,435600,98900,72600,115700,79200,92500,91700,124200,218100,113800,129600,249900,151600,146600,89500,108100,108900,167300,93900,128200,728300,126400,125100,150000,99500,493800,8476400,127100,116100,131900,149300,231500,93600,98400,121500,331100,632900,174500,496100,433400,73400,255300,162700,129200,101000,92500,378100,137700,114200,198900,206200,195300,140300,121800,600600,104400,138900
Sep-17,212400,438500,99400,72900,116100,79300,92900,91100,124200,218500,113900,130100,250800,152400,146500,89400,108000,109700,167800,94300,129300,734500,126800,125800,154000,100000,495100,8405100,128900,115800,132300,151400,232900,94600,99200,122100,331700,637000,174600,498300,437100,73700,256500,162700,129000,101100,92300,377900,137900,114600,198200,207000,195400,140400,121400,604300,104400,138900
Oct-17,212500,441200,99900,73200,116900,79600,93300,91100,124700,218100,114000,130900,251400,153400,147100,89600,107700,110600,168500,94800,130400,738300,127900,126800,154600,99700,496700,8401600,130300,116200,132900,153000,233600,95100,99700,122400,332900,639200,174900,498900,440900,74600,257400,163100,129000,101300,92600,378700,138000,115500,198500,206400,195600,140900,121100,606100,104800,139000
Nov-17,216600,443000,100000,73100,117900,79800,93900,91100,125700,216600,114800,131800,252400,154600,148200,90000,107600,111800,169600,95200,131300,739600,128900,128000,153500,98200,497800,8442500,130800,116800,133700,154300,234400,94700,99900,122600,335500,639800,175900,499500,443900,75700,258500,163800,129700,101700,93100,380300,138200,116700,200100,206400,195600,142100,121500,604800,105500,139800
Dec-17,222000,444100,100600,73500,119100,79900,94400,91600,126900,216200,115800,132800,253200,155600,149800,90200,108200,112900,170900,95800,132800,742300,130100,129400,151600,97900,499400,8385400,130900,117800,133900,156200,235800,95000,99300,123500,338700,639800,177600,501600,445800,76400,259600,164200,130700,102200,93600,381200,139000,117100,202600,207300,197100,143400,122200,602800,106500,140700
Jan-18,223900,445800,102000,74500,119900,80300,94700,92600,127400,217900,116400,133600,254800,156000,151000,90300,110000,113400,171800,96700,134500,751400,131300,130700,149100,100000,503000,8382000,131400,119000,134200,158600,237300,96400,98600,125700,341300,642400,178800,506700,447900,76900,260700,164700,131600,102700,94500,381600,140500,116900,204800,209000,200200,144300,122900,603400,107400,141200
Feb-18,222600,447500,104100,75500,120000,81000,94900,93200,127400,220100,117100,134200,257200,156500,151200,91000,112100,113400,172300,97500,135400,762900,131700,131300,146500,102400,508400,8441000,131900,120400,135100,160200,238200,97800,98800,127800,343300,646200,179200,513100,450600,77600,262100,165300,132200,103500,95100,382800,141900,117500,206700,211500,203300,144400,123700,604200,108400,141200
Mar-18,222700,449400,106100,76200,120000,81800,95200,92900,127300,221000,117500,134700,260200,157200,150700,92200,113300,113700,172700,97700,135500,772800,131700,131400,144600,103000,514100,8464700,132100,121900,136100,160800,239000,98400,99400,129000,345100,650200,179700,518800,454400,78400,263700,165900,132400,104200,95200,384400,139300,119000,207400,214300,204600,144400,124100,605300,109000,141200
Apr-18,223600,451200,108100,76800,120600,82000,95400,92800,127700,221700,117900,135200,262300,157900,150300,92700,114000,114700,173500,98100,135800,778600,132600,131800,143500,103100,518600,8417000,132200,123000,136600,161800,240100,98800,100700,130000,346400,655100,180400,524100,457500,79100,265100,166200,132600,104800,95600,384500,134300,120800,206200,215900,205700,145300,123700,608500,109500,141000
May-18,225000,453400,110000,77200,121500,81700,95400,93200,128300,222400,118400,135700,264300,158700,150700,92500,114600,115400,175000,98900,136600,782900,133600,132300,143000,103800,522500,8435300,132200,123800,136700,163500,242200,99300,102100,130800,347600,661200,180800,528500,460200,79900,266000,166500,133200,105300,96000,382300,132200,122600,204500,217300,206900,146100,123500,612200,109800,141000
Jun-18,226400,457200,111600,77400,122000,81100,95500,93700,128700,223400,119100,136100,266400,159800,151500,92400,115300,115700,176700,99200,137200,785400,134100,132600,143000,104900,526600,8416700,132500,125100,137300,164900,245000,99800,102400,131500,348700,665800,181500,531400,462000,80500,266200,167700,133700,105700,95900,379800,133500,123700,204000,219600,207900,146700,123800,613800,110800,141300
Jul-18,227600,462100,112800,77900,122300,80900,95900,94000,129000,224600,119900,136500,268500,160800,152000,92500,115700,116400,177900,99400,137800,785000,134800,133000,143200,105500,529400,8365200,133100,126600,138400,165200,248200,100000,102100,132000,350500,668000,182300,533800,462600,81200,265700,169400,134400,106200,96000,379500,134500,124000,204500,222400,208400,147200,124600,613400,112200,141900
Aug-18,227900,466800,113800,78600,123300,81000,96200,93800,129800,225900,120700,137100,269900,161500,152400,92500,116100,117200,178700,99900,139400,782900,135700,134100,143000,105700,529800,8433000,133500,127300,139400,165400,250100,100200,102000,132300,352600,669000,183100,535900,462300,82300,265300,170100,135500,106900,96600,380700,135500,124200,205100,224900,209400,147700,125200,611600,113100,142500
Sep-18,228700,471500,114300,78800,123400,80800,96100,93300,130600,226900,121100,137500,270200,162200,152500,92800,116500,117800,179700,100400,139200,783200,135900,133600,142500,105600,531100,8478700,134300,127600,140100,166100,251100,100500,102200,132500,354300,672100,183200,539500,462200,81900,265300,170500,136800,107900,96700,383100,136400,124800,205200,226700,209200,148600,125900,609500,113600,143000
Oct-18,230200,476500,114600,78000,122000,79500,95600,93100,130700,227600,121600,137700,270500,162800,152100,93500,117100,118200,180800,100800,135500,784800,134900,130700,141600,105800,535100,8280300,135800,128100,140800,166700,252800,101100,102200,133000,356300,675800,183300,546800,462600,79300,265100,171800,137900,108800,95500,386200,137800,125700,204600,227300,206700,149900,127400,609300,114000,143700
Nov-18,230400,481300,114800,77000,120900,78800,95300,93300,130300,228500,122200,138200,271200,162900,151900,94100,117800,118800,181500,101600,131600,784100,133500,127900,141400,106800,539900,7975600,137400,128300,141200,166700,254900,101800,103700,133800,358700,678000,183800,554900,463400,76600,264600,172900,139100,109100,94500,389900,139700,126200,204000,227700,204100,151400,129100,609300,114400,144700
Dec-18,228600,485700,115000,76500,120500,79500,95300,93600,129900,230100,122400,139200,272200,162900,152300,94000,118500,119500,181800,102500,129500,781000,133000,127300,142500,108200,542100,7810000,138300,128400,141300,167100,256000,102600,107000,134200,360300,679400,184200,556800,464400,76100,264600,173600,140200,109600,94300,394800,142100,127000,204000,228400,202500,152700,130200,608500,115000,145400
Jan-19,227400,489300,114900,76200,119800,80300,95100,94000,129700,232300,122100,139400,273400,163000,152400,93700,118600,119700,181800,103100,127800,779100,133100,127300,144600,108800,542000,7744400,138900,128700,141300,167700,256700,103000,110200,133800,360700,681300,184200,552600,465100,76800,264700,174600,140600,110500,94700,400800,144200,127900,204300,229300,201300,153500,131000,607100,115400,145600
Feb-19,227900,492500,114900,75900,120100,80900,95100,94300,129900,234400,121700,138600,274800,163700,151800,94000,118500,119500,181200,102700,127600,780700,133000,127100,146800,108500,542200,7744300,139700,129600,141200,168200,258000,102900,110800,133100,360300,684100,184900,548300,466500,77600,264800,175500,140400,111200,94900,407600,145000,128400,205000,230300,200400,153700,131900,611100,115400,145500
Mar-19,228400,496300,114300,75700,121900,81200,95100,94400,130600,235500,121400,137400,275700,164500,150800,94600,118100,119300,180600,102100,128400,781000,132800,126900,148300,107800,543300,7760500,139600,129300,140800,167900,259200,102600,109400,132600,360300,684900,185300,545000,467300,77700,264400,175100,140500,111400,94700,412400,145300,127700,204800,230100,199500,153500,133100,617300,115300,145100
Apr-19,228100,499200,113200,75500,123500,81300,94700,94600,131000,235800,121300,136500,276500,164800,149900,94500,117500,119100,180300,101900,128500,778900,133100,126900,148900,107200,543600,7725200,138700,127900,140300,167200,259400,102200,107600,132700,360500,682900,185000,542000,467000,77500,263400,174000,140900,111500,94200,414100,145800,126600,204100,228700,198500,153400,133900,620200,115100,144500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publisher:," ""Zillow""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright:," ""The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
