Time,Alabama (%),Alaska (%),Arizona (%),Arkansas (%),California (%),Colorado (%),Connecticut (%),Delaware (%),Florida (%),Georgia (%),Hawaii (%),Idaho (%),Illinois (%),Indiana (%),Iowa (%),Kansas (%),Kentucky (%),Louisiana (%),Maine (%),Maryland (%),Massachusetts (%),Michigan (%),Minnesota (%),Mississippi (%),Missouri (%),Montana (%),Nebraska (%),Nevada (%),New Hampshire (%),New Jersey (%),New Mexico (%),New York (%),North Carolina (%),North Dakota (%),Ohio (%),Oklahoma (%),Oregon (%),Pennsylvania (%),Rhode Island (%),South Carolina (%),South Dakota (%),Tennessee (%),Texas (%),Utah (%),Vermont (%),Virginia (%),Washington (%),West Virginia (%),Wisconsin (%),Wyoming (%)
May-10,100900,295300,159600,97300,340200,222100,252900,225700,146900,132800,506900,159300,157500,107600,112500,115200,115000,125100,177000,250700,304800,87500,166800,116700,129000,183500,119400,158200,221200,302500,173900,238000,144300,138000,109900,97500,218800,148500,232300,130900,140100,116100,131500,216500,180600,217300,252500,80100,149600,182700
Jun-10,100900,296300,158200,97600,340300,221900,252900,225000,146300,132600,507900,158400,157200,107900,113000,115100,115000,125100,177900,250500,305300,87700,167600,117000,129000,183900,119500,157800,221400,302400,173500,237500,144200,138500,110000,97600,217700,148600,231500,130700,140300,116000,131500,215500,181600,217600,251100,80000,149500,183200
Jul-10,100700,297000,156200,97600,338900,221300,252300,224200,145300,131900,508400,157300,156500,108000,113000,115000,115200,124800,178500,249500,305000,87500,167500,117200,128800,184100,119600,156900,221300,301400,172800,236700,143900,139100,110100,97400,215800,148400,230400,130200,140500,115900,131200,214200,182100,217200,249000,79900,149100,183400
Aug-10,100400,296900,153900,97100,337500,220300,250800,223000,144000,130900,507800,156200,155600,107900,112900,114800,115200,124500,178400,248000,304100,87100,166900,116500,128600,184000,119400,155200,220600,299600,172300,235700,143300,139900,109900,97100,213500,147900,229200,129700,140800,115700,130900,212700,181900,216200,247200,79900,148500,183400
Sep-10,100100,296600,152300,96800,335700,219200,249500,221300,142600,129900,506800,155100,154400,108000,112900,114400,115100,124300,177900,246400,303200,86700,165700,115900,128300,183700,119100,153600,219400,297700,171500,234500,142600,140700,109300,96700,211300,147300,228700,129200,140900,115300,130600,211400,181500,215200,245500,80000,147800,183600
Oct-10,99800,296900,151100,96500,333500,218300,248200,220900,141200,128900,505900,153900,153000,108200,112700,114100,114900,124300,177100,245300,302100,86200,164100,115800,128100,183300,118700,152300,217800,295700,170200,233200,142000,141400,108700,96300,209500,146500,228100,128500,140600,114700,130300,210100,180900,214200,243800,80000,146700,183400
Nov-10,99100,297300,149300,96200,331300,217500,246000,222200,139900,127700,504700,152500,151700,108200,112400,113900,114700,124300,176000,244100,300800,85500,162300,115300,127800,182500,118200,150800,216200,293500,169000,231900,141400,141800,108200,96100,207900,145700,226800,127700,140300,114300,129800,208400,180100,213200,242400,80100,145800,183000
Dec-10,98500,297600,147400,95800,328800,216500,243400,223500,138400,126500,502600,150600,150000,107800,112000,113700,114600,123900,174700,242500,299600,84700,160700,114600,127400,181900,117800,148900,214600,290800,168000,230800,140600,142100,107600,95900,206000,144900,225400,126900,140000,113800,129400,206300,179400,211900,240500,80000,144900,182300
Jan-11,97900,298200,146300,95500,325900,215300,241800,224000,136900,125300,500000,149300,148700,107500,111500,113300,114400,123400,173500,240900,297600,84200,159200,113600,126700,181600,117500,147100,213200,288100,167200,229500,140000,142400,106800,95600,203800,144400,224600,126200,139700,113400,129200,204400,178900,210300,237800,79900,144100,181900
Feb-11,97100,298600,145500,95200,323500,214100,240700,224900,135500,124100,498100,147900,147800,107400,111100,112600,114200,122900,172000,239300,295300,83700,157500,112700,125700,181200,117400,145700,211800,285600,165900,228100,139400,142800,106100,95300,201500,143900,223600,125400,139300,113000,129000,202800,178500,208800,235200,79800,143300,181500
Mar-11,96500,298600,144800,95100,321700,213600,239700,225600,134500,122800,495400,146200,147000,107100,110700,111900,113700,122200,170500,238100,293900,83100,155900,111900,124800,180700,117300,144300,210400,284000,164400,226900,138700,143300,105600,95000,199700,143400,222000,124500,138900,112700,128900,201400,178300,208100,233300,79500,142500,181200
Apr-11,96200,298200,143600,95000,319900,213300,238800,225200,133900,121700,493000,145000,146200,106700,110400,111300,112900,121600,169400,237300,293300,82600,155000,111200,124300,179700,117500,142600,209200,283200,163100,226300,138000,143800,105000,94800,198100,142800,219700,124000,138600,112400,128700,200100,178100,207600,231500,79400,142000,181300
May-11,96000,297800,141800,94800,317900,212800,237900,224600,133400,120700,492200,144500,145100,106100,110300,110600,112300,121100,168900,236100,292400,82100,154000,110600,124100,178900,117500,141000,208100,282000,162200,226200,137400,144700,104500,94500,196800,142100,217000,123700,138400,112100,128600,199100,177900,207200,229700,79500,141700,181600
Jun-11,96100,297500,140200,94300,316200,212200,237100,224300,132700,119600,491600,143600,143700,105600,110300,110200,111900,120600,168600,234800,291500,81700,152800,110600,123900,178400,117100,139600,206900,280600,161400,225800,137000,145800,104000,94300,195900,141400,215000,123200,138400,111700,128400,198400,177800,206500,228100,79600,141300,182100
Jul-11,96200,297200,139000,93700,314600,211700,236400,223900,132000,118600,490100,143100,142600,105300,110600,109900,111600,120300,168400,233600,290900,81300,151800,110500,123800,178100,116900,138400,205900,279300,160800,225100,136500,146500,103600,94200,195400,140800,213500,122700,138400,111300,128100,198000,177600,205900,226800,79400,140700,182300
Aug-11,96100,297200,138100,93700,312800,211500,236000,223400,131400,117400,488900,142900,141600,105000,110900,109900,111400,120000,168200,232300,290300,80900,151200,110200,123500,177900,116800,137400,205200,277700,160100,224200,136200,146400,103300,94300,194800,140200,212600,122500,138500,111100,127800,197400,177600,205600,225500,79400,140600,182400
Sep-11,95400,297600,137600,93900,310600,211400,235000,223700,131000,116300,487200,142700,140800,104800,110900,109800,111200,119700,168300,231100,289300,80700,150900,109000,123300,177700,116800,136000,204600,275500,159200,223400,136300,145400,103100,94100,194400,139900,211600,122200,138400,110800,127500,196600,178100,205400,224200,79400,140700,182200
Oct-11,94900,297700,137800,93900,308600,211400,234000,219100,131000,115200,485400,142300,140000,104600,110900,109700,111000,119300,168400,229800,288200,80500,150700,107100,123100,177800,116800,135200,204300,273600,158500,222600,136400,144400,102900,94100,193900,139800,209900,121900,138500,110700,127200,196300,178800,204900,223200,79200,140700,182200
Nov-11,94800,297200,138600,93900,307400,211900,233100,207900,131000,114100,485400,142200,138900,104400,111000,109300,110700,118900,168500,228500,287200,80300,150400,105700,122700,178300,116800,134600,204700,272000,157900,221800,136300,144400,102900,93900,193300,139600,207800,121800,138300,110600,126900,196600,179400,204600,222300,79000,140400,182300
Dec-11,94800,296800,139500,94000,306700,212500,231900,198000,130700,113000,486800,141900,138100,104200,111100,108900,110500,118800,168500,227800,286400,80100,150100,105100,121900,179000,116700,134200,205000,270400,157200,221100,136000,144700,102800,93800,192900,139300,206800,121600,137800,110400,126800,197000,179800,204500,221500,78800,140100,182500
Jan-12,94900,296500,140200,94100,306100,213100,229900,194000,130400,112100,488900,141300,137200,104100,111200,108900,110400,118400,168700,227700,285700,80000,149800,104800,121300,179400,116600,134500,204900,268800,156700,220400,135600,145000,102700,93700,192600,138900,206300,121500,137700,110000,126800,196500,179900,204500,220800,78500,140000,182800
Feb-12,95000,296100,141100,93800,306200,213600,228400,192000,130600,111300,491900,140900,136000,104000,111500,108800,110300,118100,169000,227400,285300,80000,149600,104900,121200,179600,116700,135000,204700,267300,156000,219600,135600,145400,102700,93600,192400,138400,205400,121500,137700,109800,126700,195500,179800,204400,220500,78400,140000,183100
Mar-12,95100,295500,142900,93400,307500,214500,227700,190600,131100,110900,495000,141100,135300,104200,111600,108700,110000,118100,169200,227300,285700,80200,149800,104600,121500,179700,116900,135600,204500,266300,155400,219100,135600,145900,102700,93300,192400,138100,204600,121400,137700,109800,126900,195000,179500,204500,220600,78700,139600,183200
Apr-12,95000,295400,145300,93200,309700,215700,227400,189600,131500,110800,496700,141500,135600,104200,111700,108800,109900,118100,169400,228200,286500,80800,150200,104200,121500,179800,116900,136300,204400,265800,155300,219000,135700,146300,102800,93200,193000,138100,204800,121400,137400,109900,127100,195400,178900,204800,220900,78900,139500,183200
May-12,95000,296100,147800,93300,312100,217200,227200,188800,132000,110800,498000,142300,135700,104300,111800,109100,110200,118200,169800,229300,287300,81400,151000,104300,121400,180000,117000,137200,204700,265400,155500,218800,135800,146700,103100,93400,194000,138200,206500,121400,137100,110000,127200,196200,178500,205500,221500,78900,139600,183200
Jun-12,94900,297000,150100,93700,314600,218700,227100,188200,132500,110700,499400,143100,135700,104500,112000,109100,110200,118400,170200,230100,288100,81900,151900,104300,121200,180100,117400,138100,205400,264600,155500,218500,136100,147100,103200,93500,194700,138200,208200,121600,137000,110100,127300,196700,178500,206300,222500,79100,140000,183500
Jul-12,95200,297900,152400,94000,317100,220000,227000,187400,132900,110800,501900,143900,135800,104800,112200,109000,110200,118400,170600,231000,289200,82400,153000,103800,121400,180500,117800,139700,206300,263900,155100,218400,136300,147400,103100,93400,195500,138100,209500,121800,137400,110200,127700,197100,178900,206900,223600,79200,140400,183900
Aug-12,96400,298800,154800,94100,319100,221200,226700,186200,133200,111200,504800,144600,135800,105000,112500,108800,110300,118500,171200,232200,289700,83000,154100,103400,121500,180900,118300,141600,206500,263700,154800,218200,136500,148200,103100,93400,196700,138100,210100,122000,138000,110100,128000,197600,179200,207300,224600,79300,140500,184400
