"Time","Albany-Schenectady-Troy, NY, New York, Non-Seasonally Adjusted, Total Private ($)","Binghamton, NY, New York, Non-Seasonally Adjusted, Total Private ($)","Boston-Cambridge-Newton, MA NECTA Division, Massachusetts, Non-Seasonally Adjusted, Total Private ($)","Brockton-Bridgewater-Easton, MA NECTA Division, Massachusetts, Non-Seasonally Adjusted, Total Private ($)","Buffalo-Niagara Falls, NY, New York, Non-Seasonally Adjusted, Total Private ($)","Camden, NJ Metropolitan Division, New Jersey, Non-Seasonally Adjusted, Total Private ($)","Dutchess County-Putnam County, NY Metropolitan Division, New York, Non-Seasonally Adjusted, Total Private ($)","Lowell-Billerica-Chelmsford, MA-NH NECTA Division, Massachusetts, Non-Seasonally Adjusted, Total Private ($)","Nassau County-Suffolk County, NY Metropolitan Division, New York, Non-Seasonally Adjusted, Total Private ($)","New York City, NY, New York, Non-Seasonally Adjusted, Total Private ($)","Newark, NJ-PA Metropolitan Division, New Jersey, Non-Seasonally Adjusted, Total Private ($)","Rochester, NY, New York, Non-Seasonally Adjusted, Total Private ($)","Syracuse, NY, New York, Non-Seasonally Adjusted, Total Private ($)"
"11/2020",1131.78,861.05,1541.41,958.07,968.76,1035.65,1014.57,1344.1,1084.94,1357.25,1192.45,885.84,968.89
"01/2021",1128.62,855.23,1516.35,943.02,953.28,1044.08,985.78,1338.59,1091.28,1354.08,1179.86,926.9,983.25
"02/2021",1132.97,845,1492.27,915.26,951.26,1035.73,994.02,1343.57,1087.35,1345.32,1172.31,901.92,964.99
"03/2021",1121.41,845,1484.54,920.04,937.28,1078.22,1038.45,1347.84,1092.85,1335,1172.41,894.73,965.17
"04/2021",1121.2,846.52,1511.45,903.99,950.62,1043.1,1011.37,1349.6,1109.4,1357.04,1178.82,916.43,996.93
"05/2021",1131.52,888.86,1551.62,938.06,983.05,1046.79,1014.13,1347.87,1125.06,1417.2,1190.94,923.98,1008.22
"06/2021",1112.77,903,1514.44,940.64,965.61,1045.16,1008.86,1344.61,1092.75,1374.96,1168.8,930.41,1006.2
"07/2021",1109.99,893.27,1519.79,923.06,977.08,1092.26,1007.51,1335.36,1095.52,1378.03,1155.65,931.92,1020.61
"08/2021",1123.25,887.28,1579.85,917.95,990.35,1071.08,1013.88,1362.19,1111.24,1422.44,1169.55,936.4,1008.9
"09/2021",1113.5,890.29,1559.4,957.73,995.15,1048.89,1005.14,1364,1090.99,1361.82,1151.27,925.19,1012.86
"10/2021",1113.37,876.42,1580.34,972.9,1009.78,1051.52,1022.83,1359.71,1132.2,1380.62,1176.68,935.87,1041.29
"11/2021",1133.48,899.12,1576.31,958.69,1039.41,1027.18,1012.93,1388.63,1140.07,1363.49,1174.95,938.19,1017.9
"01/2022",1161.69,892.75,1610.26,968.25,1013.4,1057.42,1018.13,1352.03,1165.76,1423.24,1193.29,943,1009.93
"02/2022",1162.31,881.76,1592.72,974.13,988,1040.82,1015.28,1347.32,1124.93,1377.95,1171.62,932.59,997.43
"03/2022",1167.57,861.98,1579.99,960.63,981.07,1050.78,1006.99,1390.08,1117.51,1374.15,1169.26,919.51,998.92
"04/2022",1166.22,888.11,1581.57,978.1,1009.13,1069.7,1020.73,1408.98,1133.31,1354.12,1191.62,922.49,1008.9
"05/2022",1163.14,889.43,1613.68,990.44,1007.01,1061.4,1020.76,1394.09,1161.79,1387.34,1192.61,934.8,1025.32
"06/2022",1136.03,889.44,1564.86,991.78,979.66,1045.53,1019.42,1380.8,1118.88,1355.64,1179.9,929.1,1015.84
"07/2022",1161.11,881.76,1573,989.43,992.34,1065.69,1004.3,1373.96,1111.89,1367.63,1175.9,942.67,1032.92
"08/2022",1145.96,890.77,1603.04,988.72,989.34,1069.53,1003,1367.66,1113.22,1370.63,1199.98,944.89,1008.86
"09/2022",1178.45,874.81,1613.7,1016.74,1017.73,1099.57,1008.66,1406.46,1117.56,1374.29,1214.91,937.63,1005.67



"Publisher:", "Bureau of Labor Statistics"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
